Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2022,2. Semestre,D320199,10,P855200218,303,Engenharia Elétrica,16,0,4,0,29,51,0,7,0,2,0,13,23,0,45,100
2022,2. Semestre,D320199,11,A292200218320,312,Curso de Engenharia de Computação,23,0,2,0,41,33,2,14,0,1,0,25,20,1,61,101
2022,2. Semestre,D320199,13,A681200461218,313,Curso de Engenharia de Produção,15,0,6,0,70,9,0,5,0,2,0,23,3,0,33,100
2022,2. Semestre,D320199,14,A380200380642,302,Engenharia Civil,37,0,4,0,37,22,0,19,0,2,0,19,11,0,51,100
2022,2. Semestre,D320199,50,A292200218320,305,Engenharia Química,0,0,0,0,0,100,0,0,0,0,0,0,2,0,2,100
2022,2. Semestre,D320199,50,A292200218320,307,Ciência da Computação - Bacharelado,67,0,0,0,0,33,0,2,0,0,0,0,1,0,3,100
2022,2. Semestre,D320199,50,A292200218320,315,Curso de Engenharia Aeroespacial,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2022,2. Semestre,D320199,50,A292200218320,316,Curso de Engenharia de Telecomunicações,0,0,0,100,0,0,0,0,0,0,1,0,0,0,1,100
2022,2. Semestre,D320199,15,AP681402512218,310,Curso Engenharia de Controle e Automação,28,0,6,0,31,36,0,10,0,2,0,11,13,0,36,101
2022,2. Semestre,D320199,16,MÁICON FACCO,314,Bacharelado em Sistemas de Informação,23,2,2,0,47,23,2,10,1,1,0,20,10,1,43,99
2022,2. Semestre,D320199,17,AP292200218888,305,Engenharia Química,67,0,3,3,17,11,0,24,0,1,1,6,4,0,36,101
2022,2. Semestre,D320199,18,B200380461148,311,Curso de Engenharia Acústica,28,0,0,3,48,14,7,8,0,0,1,14,4,2,29,100
2022,2. Semestre,D320199,19,A292200218320,402,Engenharia Florestal,11,0,6,0,50,33,0,2,0,1,0,9,6,0,18,100
2022,2. Semestre,D320199,20,A394200218642,309,Curso de Engenharia Sanitária e Ambiental,41,0,2,0,29,27,0,17,0,1,0,12,11,0,41,99
2022,2. Semestre,D320200,10,B888642512642,123,Física - Bacharelado,32,0,0,0,27,41,0,7,0,0,0,6,9,0,22,100
2022,2. Semestre,D320200,10,B888642512642,315,Curso de Engenharia Aeroespacial,60,0,0,0,2,38,0,29,0,0,0,1,18,0,48,100
2022,2. Semestre,D320200,11,B888642512642,110,Química Industrial,20,0,0,0,40,40,0,3,0,0,0,6,6,0,15,100
2022,2. Semestre,D320200,11,B888642512642,133,Química - Bacharelado,46,0,0,0,38,15,0,6,0,0,0,5,2,0,13,99
2022,2. Semestre,D320200,12,B292200218320,302,Engenharia Civil,56,0,0,0,0,44,0,5,0,0,0,0,4,0,9,100
2022,2. Semestre,D320200,13,B200380461148,303,Engenharia Elétrica,34,2,0,0,24,39,0,14,1,0,0,10,16,0,41,99
2022,2. Semestre,D320200,50,B200380461148,302,Engenharia Civil,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2022,2. Semestre,D320200,50,B200380461148,307,Ciência da Computação - Bacharelado,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2022,2. Semestre,D320200,16,B292200218320,316,Curso de Engenharia de Telecomunicações,14,0,7,0,64,14,0,2,0,1,0,9,2,0,14,99
2022,2. Semestre,D402855,CC,C946200380402,307,Ciência da Computação - Bacharelado,56,0,0,0,28,17,0,10,0,0,0,5,3,0,18,101
2022,2. Semestre,D888148,10,C380148380200,304,Engenharia Mecânica,37,3,6,0,34,20,0,13,1,2,0,12,7,0,35,100
2022,2. Semestre,D888148,11,C380148380200,304,Engenharia Mecânica,28,0,0,0,50,22,0,5,0,0,0,9,4,0,18,100
2022,2. Semestre,D888148,SI1,C380148200685,314,Bacharelado em Sistemas de Informação,46,0,4,0,17,33,0,11,0,1,0,4,8,0,24,100
2022,2. Semestre,D888148,CC1,C380148200685,307,Ciência da Computação - Bacharelado,60,0,0,0,40,0,0,3,0,0,0,2,0,0,5,100
2022,2. Semestre,D888148,CC2,C218200683888,307,Ciência da Computação - Bacharelado,40,0,0,0,60,0,0,2,0,0,0,3,0,0,5,100
2022,2. Semestre,D888148,SI2,C218200683888,314,Bacharelado em Sistemas de Informação,50,5,5,0,14,27,0,11,1,1,0,3,6,0,22,101
2022,2. Semestre,D888200,CC,E200380461148,307,Ciência da Computação - Bacharelado,80,0,0,0,0,20,0,8,0,0,0,0,2,0,10,100
2022,2. Semestre,D888200,SI1,E978402380148,314,Bacharelado em Sistemas de Informação,63,0,3,0,7,27,0,19,0,1,0,2,8,0,30,100
2022,2. Semestre,D888200,SI2,E681200461218,314,Bacharelado em Sistemas de Informação,60,7,0,0,20,13,0,9,1,0,0,3,2,0,15,100
2022,2. Semestre,D888200,SI3,E200380461148,314,Bacharelado em Sistemas de Informação,80,0,0,0,0,20,0,8,0,0,0,0,2,0,10,100
